,comment
49,"Tag 6 und ich habe inzwischen die Befürchtung, dass Otto sich weigern wird den Dschungel zu verlassen "
50,"Coole Folge, obwohl es schade ist das Sabrina nun raus ist. Danke für den geilen Content!  
Ich freu mich schon auf Mittwoch, denn ich bin echt gespannt, wie es mit Otto´s Erholungsurlaub weitergeht "
51,"Als Otto einfach die Challenge vorgelesen hat, dabei keine Miene verzog und am Ende Scherz bei Seite sagte, musste ich so lachen ."
52,"Könnt ihr bitte nach dem Ende alle Wege von den Teilnehmern, die per GPS aufgenommen wurden, zeigen? Währe glaube ich mega Interessant wo sich die Teilnehmer häufig aufgehalten haben."
53,"Kann jemand bitte eine compilation machen mit Knossi, wie er alle Kokosnüsse der Staffel hintereinander trinkt und dann sein ""uuuaargh, aaargh"" durchzieht?"
54,Ich warte jetzt eigentlich nur noch auf Kossis Reaktion auf den Challenge-Sieg. Wird legendär
55,"Sascha und Knosi, auf jeden fall schon mal Gewinner der Herzen "
56,"Für mich war das bis jetzt die beste Folge :) Es wird zum Ende hin noch mal richtig spannend. Hier sieht man wer wirklich mitmacht, mit dem Willen bis zum letzten Tag durchzuhalten."
57,"""in diesem Format wächst   du über dich hinaus!"" und Fritz verfällt  in den  7 Tagen einfach in eine tiefe depression"
58,"hahaha hab mich bei noch keiner Folge so weggeowrfen wie bei dieser.. erst Prinz Markus, der das Schwert aus dem Stein zieht und dann die Temperaturmessung unter wasser"
59,Ich dachte mir schon das Knossi ein harter Knochen ist. Aber SO hart? Respekt! Mein Kandidat der Herzen. Hoffentlich gewinnt er die Temperatur-Challenge.
60,"Wieder eine mega gute Folge! Ich liebe diese Staffel sehr! 
Hab mir hier noch ne halbe Stunde Kommentare durchgelesen...war schön zu lesen, weil ich eigentlich alles genauso fühle! Bin so gespannt auf Mittwoch "
61,Ich lieb's.... Traurig das es bald wieder vorbei ist..... Echt Respekt an alle Teilnehmer!!! 
62,"Ottos Witz fand ich total witzig. Danke fürs reinschneiden 
Mich hat’s sehr erwischt "
63,"Fritz: Vermisst Supermärkte

Otto: Zieht vom Strandhäuschen zum Hügel mit Seeblick"
64,Wirklich extrem Fesselnd die Folgen!! Riesen Respekt aus Österreich! ️
65,Ich find Ottos Gelassenheit einfach bewundernswert!
66,"Also Knossi hat mit Abstand den größten Entertainment-Faktor… Er fuchst sich in dieses Format rein und zeigt sein Kämpferherz. Anfangs war ich eher skeptisch wegen seiner Teilnahme, aber er gibt diesem Format so viel mehr als so manch andere/r Teilnehmer/in der Staffel."
67,"Ich denke, dass alle die Tag 6 schaffen auch Tag 7 schaffen werden. Es ist schliesslich der letzte Tag, da geht die Motivation nochmal richtig hoch, da gibt keiner mehr auf ohne krassen Grund, da schläft dann auch jeder auf dem Boden. Also hoffen wir, dass alle den Tag und die Nacht überstehen! Ich schaue zu dir Sascha, der einzige der sein Shelter noch immer am Wasser stehen hat :D"
68,"Also ich muss sagen,ich feier 7 vs wild mega.. aber ich denke es wurde die falsche Insel gesucht. Kein Teilnehmer konnte sich wirklich vom Strand entfernen. Alles war zu dicht und daher wurde es leider dich langweiliger als man nach Staffel 1 dachte. Man hat sich so auf bauen und aufs erkunden gefreut. Das spannendste lieferte nur das Wasser."
69,Knossi echt eine Riesen Überraschung und Bereicherung für diese Serie. Hätte ich nicht mit gerechnet.
70,Knossi Moderiert halt einfach Sascha an. Einfach zu geil. :D
71,"Heftig, ich Fieber jede Folge mit.  Unglaublich spannend. Danke für die Produktion der ganzen Idee bis hin zur Verfilmung ️"
72,"Das Sabrina sich einfach so am 6. Tag ausklinkt finde ich echt schade und seltsam.
Sabrina hätte definitiv weiter in den Jungle gehen können und sich etwas improvisiertes basteln können, es wäre schließlich nur noch ein Tag gewesen.
Fritz und Joris sind schließlich sogar in der Nacht, bei Regen einfach umgezogen um weiter zu machen "
73,"Otto macht mich wirklich nur noch sprachlos! Chapeau, wirklich! Alle kämpfen mit den letzten Kraftreserven und eisernem Willen, Otto überlegt was einen hier eigentlich zum Abbrechen bringen könnte außer akuten Schmerzen und Verletzungen! Da ist doch sonst nix was schwierig ist! ️ Wtf!?"
74,"Ich hätte es echt gefeiert, wenn mehr gebaut werden würde  dennoch großen Respekt an alle Kandidaten…"
75,Mein größter Respekt an Sascha das er ohne Hilfsmittel bis auf die machte seit Tag 1 durchhällt
76,"heftig heftig - und sooo geil, wie ihr wirklich den Schnitt von Knossi zu Sascha gemacht habt, nachdem Knossi es sagte. einfach verdammt geil genutzt - ihr seid einfach großartig  Danke euch dafür 
Boahhh also mich hat Otto echt gehabt, als das mit den Krokodilen kam - weil hätte ja gut sein können, das im Vorfeld welche gesichtet worden sind von der Crew. Aber hey, bin ihm echt auf den Leim gegangen "
77,Ich find es immer geil wenn Kandidaten über andere reden als wenn es denen viel besser gehen würde
78,"habe alle folgen gesehen und glaube, dass knossi der einzige ist, der jeden tag feuer gemacht hat, aber nur für seine kippen und dieser challenge. er hätte potential gehabt, durchgehend ein feuer haben zu können. schade, dass er es nicht weiter genutzt hat."
79,Krass wie Otto einfach alles wegsteckt. Da sieht man den Unterschied zwischen Soldat und Normalo.
80,"38:28 Hahaha Otto hat mich total überrascht! Die persönliche Challenge klang sehr plausibel :D
Tja, jetzt ist der Urlaub vorbei!"
81,"Cool, wie Knossi immer wieder ohne viel Anstrengungen das Feuer in Gang bekommt und die Zahnschmerzen so tapfer erduldet. Aber dass Sabrina nicht nach einem anderen Lagerplatz sucht und sich abholen lässt, war überraschend."
82,Respekt an alle Teilnehmer die bei 7vswild mitgemacht haben 
83,Wunderschöne und einzigartige Aufnahmen von Otto 
84,Bis jetzt die geilste Folge endlich ist mal etwas passiert und man hat mal mehr von allem gesehen aber trotzdem mies geiles Projekt bitte 3 Staffel  Danke Fritz
85,"Großen Respekt an Sabrina, dass sie so lange durchgehalten hat aber dieser Grund, den sie für ihr ausscheiden genannt hat ist absoluter Bullshit "
86,Der Übergang von Knossi zu  Sascha vor der Ziggi is genial
87,"Hier ein Überblick über die derzeitigen Challengepunkte;

Otto (7, 7, 7, 5) = 26
Joris (6, 7, 6, 6) = 25"
88,"Krass, wie Knossi einfach mal tagelang die vermaledeiten Zahnschmerzen (sozusagen) ausblendet und wieder - wie fast jeden Tag - die Aufgabe abliefert.
Ich krieg' den Lachflash, wenn er die Challenge gewinnt "
89,Hammer Folge! Man merkt einfach bei den Jungs wie die Gehirne langsam matsch sind werden und einfach alles ungefiltert rauslassen 
90,"Und damit wäre die ewige Geschichte ""Mann vs. Frau"" endgültig geklärt. Schön wie sich Sabrina noch selber in die Tasche lügt. Absolut typisch. Und Knossi und Sascha sind echt die größte Überraschung in der Staffel."
91,"Dicken Respekt an die Cutter die alles sichten mussten. Man, wie viele Stunden dafür drauf gegangen sind, wär schon mal Interessant zu wissen. Dickes F an das gesamte Team hinter den Kameras, und frohe Weihnachten! Krasser Move die Staffel direkt Weihnachten Enden zu lassen, alles für die Klicks und Likes xD"
92,"wieder eine top folge, danke an das ganze team"
93,"Als letztes Video hätte ich gerne, dass alle Kanidaten sich einmal zum Arzt untersuchen lassen gehen. Kommt bestimmt bisschen was zusammen "
94,Knossi hat mich intellektuell in dieser Folge extrem positiv überrascht und Sascha extrem negativ 
95,"Seit der 1. Folge bin ich frustriert, wieso alle es nicht sehen, bis wohin die Wellen kommen. Das ist wie ein Strich!"
96,Wieder eine tolle Folge ! Danke dafür <3
97,"Krass, wie gut Sabrina durchgekommen ist. Die Bedingungen an ihrer Startlocation waren eben wirklich total mies. Die Anderen sind aber auf alle Fälle richtig krass drauf, vor allem Otto ist ein richtig krasser Typ."
98,"Otto verzichtet auf sein Dach, um die Palme nicht zu massakrieren, Fritz fällt eine ganze Palme für sein Dach "
99,"Ich kann doch unmöglich der einzige sein, der damit gerechnet hat, dass Knossi so weit kommt?!
WILLENSKRAFT!"
100,"Joris: Mir tun die Hände weh

Auch Joris: Arbeitet nie mit Handschuhen"
101,Knossi ist so krass ey. Ich feiere  das mit denem tag mehr. Die heutige Challenge mal wieder rasiert
102,Nach Sabrinas Logik hätten alle Teilnehmer schon längst die Insel verlassen
103,Deswegen ist Sascha auch Fitness Influencer geworden. Junge junge junge da fehlen einem die Worte 
104,"Sabrina hört jetzt halt genau an dem Tag auf, an dem sie mal gute Chancen gehabt hätte, eine Challenge zu gewinnen"
105,Ist schon irgendwie sau lustig wie Joris tagelang bei Sonnenschein versucht hat ein Feuer an zu machen und Knossi kurz nach einem dicken Tropenregen ein bisschen am Bambus schabt und direkt ein kleines Feuer hinbekommt :D
106,Knossi ist so die Bereicherung!!!! Mega sympathisch
107,Knossi kann dann joris mal noch bei Gelegenheit einen kleinen Kurs geben im Feuer machen. Ganz starkes Ding. Einfach ein Macher!
108,"Wer hat Otto seine Privatchallenge auch kurz geglaubt? 
Hätte ich mir gut vorstellen können, wäre für Otto sicherlich die leichtere Challenge gewesen "
109,Joris: Ich bekomme seit Tagen keinen Funken hin VS Knossi: Ich zünd mir jeden Tag ne Kippe an :-)
110,"Otto is irgendwie so einer, der die ganze Zeit Sachen ankündigt oder vorhat und dann wieder sein lässt hahah omg "
111,"Bin richtig stolz auf Knossi, schon wieder so easy nen Feuer gemacht. Legendär der Typ"
112,Toll das du bis Tag 6 durchgehalten hast! Richtig fettes Lob von uns das du so lange durchgehalten hast! Es war immer sehr interessant deine Parts anzuschauen! Danke Sabrina.
113,"Wie Otto einfach mal alle hops genommen hat,ich hab ihm die Challenge abgekauft
Tja Fritz,Reibung wär die Lösung gewesen️...hast ja deinen Schlüppa gar nicht mehr aufn Kopf,war doch nicht so chillig wa
Und Knossi Junge,ganz stark,mit Zahnschmerzen und ohne Kippen,tiefsten Respekt"
114,Otto ist so ein mindset monster
115,Ich liebe Joris‘ mood swings 
116,Ottos Humor ist einfach göttlich.
117,Bin so auf Otto mit seiner persönlichen Tageschallenge reingefallen 
118,"Jetzt fangen die alle an zu spinnen. Sascha nimmt sein Thermometer mit ins Wasser und wundert sich wieso das nicht mehr an geht, Knossi chillt mal wieder auf seinem Thron und Otto will in giftigem Gestrüpp schlafen. Mit Schlangen Viechern und allem  Bin mal gespannt wie es weiter geht."
119,"Coole Serie, interessant die mentalen Unterschiede zu sehen, aber n bisschen mehr Survival mit Bauen usw wäre toll. Wird ein bisschen langweilig auf Dauer."
120,Otto von der Unterhaltung am besten 
121,Knossi schliesst echt gut ab mit den Aufgaben. Geil! xD Ich denk jetzt einfach mal Stand 1:09 er gewinnt diese Challange. Joris Hut ab ''Feuer bohren'' war ne super Alternative ohne Feuer. Bin gespannt ob Otto und Fritz auch auf eine ähnliche Ideee kommen.
122,"Absolut Wahnsinns Produktion.
Was interessant wäre, immer mal zwischendurch Uhrzeiten einblenden."
123,"Riesen Respekt an Sascha, der seit Tag 1 nur mit einem Gegenstand durchhält! "
124,geil wie knossi den elfer mit dem feuer einfach eiskalt verwandelt. fand auch die idee von joris echt smart
125,"Wieder eine wunderbare Folge, wirkt trotz Strapazen durchaus heiter und erleichtert, weil es ja bald geschafft ist. - Vielen Dank an alle Mitwirkenden im Vorder- und im Hintergrund! - Otto fand ich besonders kreativ witzig, bei der Verlesung seiner ""Sonderchallenge"" und wie locker und überzeugend er sie ""vorgelesen"" hat (Ob er wohl vorher geübt hat?). Ich musste laut lachen. - Weihnachten gibt es für mich gefühlsmäßig in diesem Jahr gar nicht "
126,"Was mich bei 7vswild echt fasziniert (auch die erste staffel) ist wie die Teilnehmer, unabhängig vom Experten grad, nicht in der Lage sind ihre offensichtlich grössten probleme zu lösen! Bei Staffel 1 das Fischen oder sammlen/jagen oder ganz extrem bei staffel 2 DER SHELTER BAU ich komme nicht drauf klar das gefühlt alle das gleiche Problem haben aber nur einer, nämlich Fritz, sein Shelter weg vom Wasser gebracht hat. Als ob das so eine Aufgabe ist. an Tag 1 haben sie es ja auch geschafft."
127,"Bin ja mal gespannt, ob Fritz überhaupt noch irgendeine Temperatur misst.
Ansonsten Klasse von Joris und natürlich ein riesen Vorteil für Brandmeister Knossi, mit dem Feuerstahl."
128,"Also Sascha ist defintiv ein Kämpfer aber richtig smart sind die Sachen die er tut nicht wirklich.
Da wird sich sein Jagdkommando Trainer schon mehrmals auf den Kopf greifen bei seinen Entscheidungen :D"
129,"Hätte Otto zu 100% zugetraut dass er seine ""personalisierte Challenge"" geschafft hätte"
130,"Was mach ich wenn die.Staffel durch ist?
Fritz plus Team
Saumegastarkes Dankeschön für diese Superextremspitzenhammerharte Unterhaltung"
131,"Oh mein gott... Selten so gespannt auf eine Folge!
Hoffe es ist nix schlimmes passiert!!
Aber da alle gesund und munter streamen wird das wohl nich so arg sein"
132,Mega schade das beide Mädels raus sind. Wäre cool gewesen wenn Nova und Sabrina es bis zum Schluss geschafft hätten. Ich frag mich ja wie ich selbst in so einer Situation klar käme... Knossi find ich immer noch mega wie er sich schlägt. Großen Respekt. Einfach super genial.
133,Bin ich der einzige der dachte das Otto es mit der „Persönlichen Challenge“ ernst meint weil wirklich in den Wochen vor Beginn des Projektes an seinem Spot zwei Krokodile gesichtet wurden?
134,"Im Vorhinein haben sich viele beschwert, dass Streamer ins Projekt geholt wurden. Aber dass man mit Otto jetzt nen Travel- und Urlaubsblogger mit dabei hat, hätte auch keiner gedacht :D

Da einige sich beschweren, dass es etwas an Spannung fehlt etc. Ich denke, vllt wäre es doch gut gewesen, dem ein oder anderen 1-2 Gegenstände mehr zu ermöglichen. Ich liebe die Staffel sehr, habe aber phasenweise das Gefühl, dass durch die geringeren Gegenstände weniger neuer Content pro Tag rausspringt bzw. der Fokus mehr auf ""durchstehen"" liegt als es mit mehr Gegenständen nötig gewesen wäre. "
135,Jetzt weiß ich warum Fritz keine Staffel 3 mehr machen will  Sein Körper schimmelt da nur noch komplett weg 
136,"Oh. Damit hab ich jetzt nicht gerechnet. Da habt ihr mich doch tatsächlich erwischt!

Ich dachte Sascha oder ev. auch Knossi."
137,Ich finds lustig wie Knossi sich Tags über wie der König fühlt aber nachts sich wegen Wildschweinen in die Hose macht 
138,Da Joris jetzt auch eine Hausnummer an seinem Shelter hat werden die Leute von der GEZ nicht mehr lange auf sich warten lassen
139,Knossi hat meinen größten Respekt! Der einzige der absolut keine Outdoor Erfahrung hat und ist noch drin und andere die Outdoor Erfahrung haben sind raus … knossi bester Mann !
140,"endlich können die Fischer wieder an Sabrinas Spot, danke noch mal für ihre Nachsicht. Clever auch von ihr ohne jegliche Not auszusteigen so kommt sie zumindest nich als letzte ans Buffet."
141,"Fritz: macht einen Bett-Tag wie Chris in Staffel 1 und ahmt die Teilnehmer von Staffel 1 nach
Otto: macht einfach noch eine Krokodil-Bonus-Challenge, weil die eigentliche Challenge zu einfach ist
Knossi: chillt auf seinem Thron am Beach und fühlt sich wie Robinson Crusoe"
142,Joris hat richtig gut abgeliefert.. dass man da noch auf so ne Idee kommt finde ich echt super!!
143,"Noch 3 Episoden. Mal schauen, ob die Teilnehmer noch einen Tag (quasi dann 8) als Challenge ranhängen müssen oder nicht."
144,"Kossi: ""Ich hab solche Zahnschmerzen..""
Auch Knossi: Schlägt sich auf dem Jungel Stuhl selbst voll auf die Backe"" :D"
145,"Wow, Joris geht sortiert an die Challange, Knossi überrascht wie immer, Otto mit neuem geilen Spott, aber dann wieder nur halb - Stöcke auf einen Stein legen ist ja eigentlich kein Shelter ""Bau""."
146,"Irgendwie wird mir immer klarer dass Sascha nicht so die hellste Birne ist 
- Mit dem Gerät ins Wasser gehen. 
- Oder bei dem Regen auf den Steinen herum rennen. 
- Das schmutzige Wasser trinken. "
147,Sascha hat mich gekillt mit seiner unter Wasser Temperatur Messung 
148,"Otto ist einfach so eine Legende. Der Typ isst nichts, lässt das Dach lieber weg weil ""das wär zu einfach"" und macht einfach 7 Tage Urlaub in den Tropen "
149,"ich finde Fritz Humor so toll, er würde mich auch noch auf dem Totenbett zum lachen bringen "
150,"Bei aller Liebe für die Kandidaten selbst und die gesamte Organisation drum herum, finde ich erstaunlich, wie wenig wirkliche Kritik man hier liest. 
Ich muss sagen, dass ich Staffel 1 von 7 vs Wild absolut geliebt habe und mich auch richtig auf Staffel 2 gefreut habe. Muss aber auch sagen, dass ich leider schon nach wenigen Folgen ziemlich enttäuscht war."
151,Joris einfach sehr sympathisch
152,"Knossi einfach so geil ohne scheiss! Zahn tut weh, Fuß halb offen, am wenigsten von allen Erfahrung in dem Bereich und macht sich so gut schön zu sehen 
Hab mich so gefreut als er meinte 200 grad ich soo Jaaa man geil"
153,"12:19 Joris: „…auch ne Sabrina, die haben bestimmt ne halbe Villa da stehen“
Sabrina währendessen mit eingestürztem Shelter auf die Abholung am warten "
154,Sascha riesen Respekt immernoch nur 1 Gegenstand der Wahnsinn bist Deppert 
155,"Knossi "" das Schwert von Prinz Markus"" ich musste ja so herzlich lachen "
156,"Schade Sabrina, dachte du schaffst die vollen 7 Tage 
Trotzdem top das du so lange durchgehalten hast "
157,"7 vs. Wild: Panama ist um einiges härter als in Schweden. Respekt an Sabrina, super durchgehalten, eine der Wenigen, die Feuer anbekommen haben."
158,"Knossi ist einfach unbezahlbar: ""König Markus""  Der Ritter der Schwafelrunde "
159,Hätte mir nie gedacht dass Knossi so lange durchhält! Riesen Respekt an den König 
160,"alter knossi und die verdorbenen Kokosnüsse killen mich jedes mal

Zu Otto:
mehrzahl von Bambus könnte bambeen sein weil kaktus kakteen heißt oder?"
161,Ich hab otte das einfach abgekauft das er eine persönliche Aufgabe bekommen hat hätte ich dem Team zugetraut 
162,"Sauwitzig, als Otto die persönliche Challenge so aus dem Ärmel schüttelt :-)"
163,Joris beim Feuermachen - immer wieder Meme Potenzial 
164,"Sabrinaaaa!! Yeahhh!! 
Geschafft bis zu Tag 6 "
165,Joris ist richtig ambivalent haha. In der Nacht noch vollkommen am ausrasten und am nächsten Tag dann sagen: „Es fühlt sich an als ob es erst der zweite Tage wäre.“
166,"15:13 solange du lebst lieber Fritz gibt es auch genug zu holen von Dir, für die sandfly‘s  
Ich finde es zu Geil wie Fritz seit 13 folgen nur über die Mücken und Sandfliegen meckert und am Ragen ist."
167,"Alle Kandidaten sind sehr interessant von Ihrer Art, Otto toppt allerdings alles."
168,Wieder mal ne sehr krasse Folge! Aber ist in der letzten Szene etwas mit dem Colorgrading schiefgegangen?
169,"Challenge Tag 7: Überlebe weitere 7 Tage. Schicke jetzt 3 mal Code Geen, damit das Team deine Abholung um weitere 7 Tage verschiebt. Jeder Tag bringt einen Punkt. Die volle Punktzahl ist erreicht, solltest du bis zum 7. Tag (14.Tag insgesamt) noch am leben sein. Viel Glück!"
170,"Ich muss gestehen, ich hab Knossi in den ersten Folgen total unterschätzt. Ich bin begeistert, wie er das durchzieht und habe tiefsten Respekt vor ihm. Ich schäme mich dafür, so schnell über ihn geurteilt zu haben und gelobe Besserung!"
171,"Ich habs dem Otto echt kurz abgekauft, richtig überzeugend vorgelesen :D
Hätte es schon fair gefunden, wenn sie den Hinweis ""nicht wasserdicht"" noch drauf geschrieben hätten. Nach so vielen Tagen ohne viel Schlaf und wenig Essen, ist es ja schon schwer, sich daran noch zu erinnern. Und das hätte dem ganzen ja nicht wirklich geschadet. "
172,"Für mich ist Knossi der klare Gewinner dieser Serie, egal wie es ausgeht. Sascha spielt auch ganz oben mit."
173,"Die ""ich"" Perspektive bei Otto kam richtig cool rüber "
174,Ich feier KNossi jedes Mal wenn er einfach ein Feuer anbekommt. So genial...... Er holt sich ejden Tag ein Feuerchen udna uch für die Challenge 6 zaubert er mal locker 280 Grad hin.... Ich freu mich so für Knossi Gruss an alle White Gorilla
175,Knossi mit seinen Kokosnüssen und dem Coconutshock ist einfach zu lustig !
176,Einfach hammer Knossi und Sacha wie dich sich innerlich pushen
177,"Sascha, einfach ein krasser Typ. Mega Respekt vor ihm. Dieses Mindset. Wahnsinn."
178,"Knossi, Ich wusste ja dass dus packen würdest aber von folge zu folge beeindruckst du immer mehr und mehr. zahnschmerzen sind mit die schlimmeten schmerzen dies gibt, die einen ohne schmerzmittel in den wahnsinn treiben können. und du nimmst es hin wie nichts, kannst noch späße machen und stehst deinen mann. deswegen bist du der könig "
179,"Knossi's Anmoderation für Sascha, heeeftg gut "
180,"26:10  Knossi nach Nahtoderfahrung mit dem Keiler einfach zu Sonnengott Nika geworden, einfach deutscher JOYBOY!"
