,comment
49,"Das übertrifft jede Doku... einfach geil, wie sehnsüchtig man auf die nächste Folge wartet :)"
50,"Großen Respekt an Sabrina, dass sie so lange durchgehalten hat aber dieser Grund, den sie für ihr ausscheiden genannt hat ist absoluter Bullshit "
51,"Als Otto einfach die Challenge vorgelesen hat, dabei keine Miene verzog und am Ende Scherz bei Seite sagte, musste ich so lachen ."
52,"Kann jemand bitte eine compilation machen mit Knossi, wie er alle Kokosnüsse der Staffel hintereinander trinkt und dann sein ""uuuaargh, aaargh"" durchzieht?"
53,"Könnt ihr bitte nach dem Ende alle Wege von den Teilnehmern, die per GPS aufgenommen wurden, zeigen? Währe glaube ich mega Interessant wo sich die Teilnehmer häufig aufgehalten haben."
54,"Coole Folge, obwohl es schade ist das Sabrina nun raus ist. Danke für den geilen Content!  
Ich freu mich schon auf Mittwoch, denn ich bin echt gespannt, wie es mit Otto´s Erholungsurlaub weitergeht "
55,"Sascha und Knosi, auf jeden fall schon mal Gewinner der Herzen "
56,Ich warte jetzt eigentlich nur noch auf Kossis Reaktion auf den Challenge-Sieg. Wird legendär
57,"""in diesem Format wächst   du über dich hinaus!"" und Fritz verfällt  in den  7 Tagen einfach in eine tiefe depression"
58,"hahaha hab mich bei noch keiner Folge so weggeowrfen wie bei dieser.. erst Prinz Markus, der das Schwert aus dem Stein zieht und dann die Temperaturmessung unter wasser"
59,Ich dachte mir schon das Knossi ein harter Knochen ist. Aber SO hart? Respekt! Mein Kandidat der Herzen. Hoffentlich gewinnt er die Temperatur-Challenge.
60,"Für mich war das bis jetzt die beste Folge :) Es wird zum Ende hin noch mal richtig spannend. Hier sieht man wer wirklich mitmacht, mit dem Willen bis zum letzten Tag durchzuhalten."
61,Ich lieb's.... Traurig das es bald wieder vorbei ist..... Echt Respekt an alle Teilnehmer!!! 
62,"Wieder eine mega gute Folge! Ich liebe diese Staffel sehr! 
Hab mir hier noch ne halbe Stunde Kommentare durchgelesen...war schön zu lesen, weil ich eigentlich alles genauso fühle! Bin so gespannt auf Mittwoch "
63,"Fritz: Vermisst Supermärkte

Otto: Zieht vom Strandhäuschen zum Hügel mit Seeblick"
64,Wirklich extrem Fesselnd die Folgen!! Riesen Respekt aus Österreich! ️
65,"Ottos Witz fand ich total witzig. Danke fürs reinschneiden 
Mich hat’s sehr erwischt "
66,Ich find Ottos Gelassenheit einfach bewundernswert!
67,"Also Knossi hat mit Abstand den größten Entertainment-Faktor… Er fuchst sich in dieses Format rein und zeigt sein Kämpferherz. Anfangs war ich eher skeptisch wegen seiner Teilnahme, aber er gibt diesem Format so viel mehr als so manch andere/r Teilnehmer/in der Staffel."
68,"Ich denke, dass alle die Tag 6 schaffen auch Tag 7 schaffen werden. Es ist schliesslich der letzte Tag, da geht die Motivation nochmal richtig hoch, da gibt keiner mehr auf ohne krassen Grund, da schläft dann auch jeder auf dem Boden. Also hoffen wir, dass alle den Tag und die Nacht überstehen! Ich schaue zu dir Sascha, der einzige der sein Shelter noch immer am Wasser stehen hat :D"
69,Knossi echt eine Riesen Überraschung und Bereicherung für diese Serie. Hätte ich nicht mit gerechnet.
70,Knossi Moderiert halt einfach Sascha an. Einfach zu geil. :D
71,"Heftig, ich Fieber jede Folge mit.  Unglaublich spannend. Danke für die Produktion der ganzen Idee bis hin zur Verfilmung ️"
72,Nach Sabrinas Logik hätten alle Teilnehmer schon längst die Insel verlassen
73,"Otto macht mich wirklich nur noch sprachlos! Chapeau, wirklich! Alle kämpfen mit den letzten Kraftreserven und eisernem Willen, Otto überlegt was einen hier eigentlich zum Abbrechen bringen könnte außer akuten Schmerzen und Verletzungen! Da ist doch sonst nix was schwierig ist! ️ Wtf!?"
74,"Ich hätte es echt gefeiert, wenn mehr gebaut werden würde  dennoch großen Respekt an alle Kandidaten…"
75,Mein größter Respekt an Sascha das er ohne Hilfsmittel bis auf die machte seit Tag 1 durchhällt
76,"heftig heftig - und sooo geil, wie ihr wirklich den Schnitt von Knossi zu Sascha gemacht habt, nachdem Knossi es sagte. einfach verdammt geil genutzt - ihr seid einfach großartig  Danke euch dafür 
Boahhh also mich hat Otto echt gehabt, als das mit den Krokodilen kam - weil hätte ja gut sein können, das im Vorfeld welche gesichtet worden sind von der Crew. Aber hey, bin ihm echt auf den Leim gegangen "
77,Ich find es immer geil wenn Kandidaten über andere reden als wenn es denen viel besser gehen würde
78,"Das Sabrina sich einfach so am 6. Tag ausklinkt finde ich echt schade und seltsam.
Sabrina hätte definitiv weiter in den Jungle gehen können und sich etwas improvisiertes basteln können, es wäre schließlich nur noch ein Tag gewesen.
Fritz und Joris sind schließlich sogar in der Nacht, bei Regen einfach umgezogen um weiter zu machen "
79,"habe alle folgen gesehen und glaube, dass knossi der einzige ist, der jeden tag feuer gemacht hat, aber nur für seine kippen und dieser challenge. er hätte potential gehabt, durchgehend ein feuer haben zu können. schade, dass er es nicht weiter genutzt hat."
80,"Also ich muss sagen,ich feier 7 vs wild mega.. aber ich denke es wurde die falsche Insel gesucht. Kein Teilnehmer konnte sich wirklich vom Strand entfernen. Alles war zu dicht und daher wurde es leider dich langweiliger als man nach Staffel 1 dachte. Man hat sich so auf bauen und aufs erkunden gefreut. Das spannendste lieferte nur das Wasser."
81,"Cool, wie Knossi immer wieder ohne viel Anstrengungen das Feuer in Gang bekommt und die Zahnschmerzen so tapfer erduldet. Aber dass Sabrina nicht nach einem anderen Lagerplatz sucht und sich abholen lässt, war überraschend."
82,Krass wie Otto einfach alles wegsteckt. Da sieht man den Unterschied zwischen Soldat und Normalo.
