,comment
10,The current major failing of Helion is that they have yet to turn their device vertical and start referring to it as a warp core.
11,Ive never seen something so unbelievably beyond my realm of possible understanding explained in such an incredibly understandable way. Awesome video
12,"Seeing this is one of the first times something has made me feel like this technology would pan out in my lifetime. Truly incredible work, is there anywhere I can follow the progress of this project because damn this excites me! "
13,Tremendous work animating the new concepts!
14,I love this process of energy capture so much! Turbines are so last century and this feels like something you could actually put to good use in a spaceship.
15,"Not only does this video teach and inspire the next generation of engineerings as per the channel's goals; but it also gives everyone watching, engineers of all ages and fields, hope for the future. By far my favorite video to date and there are a LOT of good ones. This really had me thinking I should go back to studing my PHYS 122 material for my final this Monday. That is the magic that you have created. Well done."
16,The timing of these two videos were immaculate
17,"Their engineering is extremely impressive.

I'm super happy for you getting an exclusive opportunity like this and the technical details provided are fantastic!"
18,"Using this idea of pulsed fusion, I imagine an implementation with a radial type topology with 3 pairs of accelerators and a single fusion chamber, totaling 6 accelerators, which would fire in opposite pairs to produce the collision of each plasma ring, thus In this way, shots would be produced in pairs in a synchronized manner towards the same camera, for example in a rotary synchronization, similar to an axial motor, giving a longer reset time to each group of electromagnets."
19,"Did you run the numbers on this? Like what's the theoretical maximum energy you could get from this design accounting for all the losses in the system, what's the practical amount you could get given costs and other challenges, and how close are they really?"
20,"What a beautifuly elegant solution! Fantastic video, and interview. I love the description of the ""magnetic piston""!"
21,Great to see all of the various fusion concepts get some love. Hopefully one of these will leapfrog the eternally always 20+ years away that currently rules the roost.
22,Thank you to all the scientists working on this night and day. This is truly one of the most important advancements in the 21st century.
23,"absolutely amazing work bro, very informative and well described"
24,Just... WOW! I'm going to watch those interview on nebula :O Thanks for sharing cost of such video like this one... I would never guess! By quality you surpassed classic tv documents and the way you share complex info is super easy to understand. Thanks for the video and for me new way to achieve fusion 
25,Great video! I like these features you're doing on companies like this.
26,"Stories like this make me absolutely giddy to start working in my engineering career.

Thank you for making videos like this that inspire people to pursue engineering degrees where they can help make a difference."
27,"I feel so lucky to live in a time where this information is not only readily available, but there are people like you out here breaking this information down into bite sized pieces that are easier to understand. Thank you for all the hard work you do."
28,honestly humbling to be able to see this level of technology in my lifetime. Hats off to the crew at Real Engineering!
29,David Kirtley and his team deserve recognition for their contributions to the engineering challenge of our times. Excellent video quality. Looking forward to the long interviews.
30,"An absolutely incredible deep dive, and an excellent job breaking down some very high science into a digestible and entertaining video. I didn't understand the first clip of glass being heated on a torch until it was repeated towards the end of the video, where it was mentioned that the speed of light has to be accounted for in the timing of commands. Definitely going to have to watch it a second time, before checking out the interviews on Nebula."
31,"This video and the one on spinlaunch are amazing and get me so excited for the future! I can't wait for more videos like these, and learn about these amazing companies and technologies I've never heard of before!"
32,"Oh thank you so much! For a long time ever since I discovered actual theories and designs for direct energy conversion and aneutronic fusion, I have been just crossing my fingers and hoping someone smart enough got funding to do it!"
33,pretty amazing stuff and sounds well worth all of the engineering going into it! :D
34,"I can't imagine the theory of ""this should work on paper"" to actually going and building it and making fusion reactions. Mad genius scientists!"
35,Signed up for nebula 4k for the year. Great deal. Fantastic video. You're amazing.
36,"Fascinating video, can't add to what's already been said - except hats off to the fantastic music and sound design in this."
37,"I’m not even two minutes in and everything he’s said has just excited me more about this. I was stoked when I heard about the recent fusion breakthrough, can’t wait to see where this tech goes."
38,"Awesome video and great info in the extra interviews on nebula. 
Did you talk at all about the energy intensity of h3 creation? I'm really curious how that fits into the bigger picture."
39,"I look at stuff like this and think, ""Gosh, how do people get into this line of work and work for innovative teams like this. Does it take money, luck, knowing the right people?"" It's just crazy to think where people are and how they could have gotten there. What motivated them to get to where they are?"
40,"Thanks for visiting, Brian. As always, we appreciate your ability to breakdown complex engineering topics - including direct energy recovery from fusion!"
41,This is really neat! I always wondered why Tokamak and ICF is used to boil water instead of finding some way to capture the energy the fusion process releases. And Helion seemed to have figured out how to do just that
42,Cant thank you enough on the work you are doing!
43,
44,
45,
46,
47,
48,
49,"Bevor Sie zu YouTube weitergehen
Wir verwenden Cookies und Daten, um
Google-Dienste anzubieten und zu betreiben
Ausfälle zu prüfen und Maßnahmen gegen Spam, Betrug und Missbrauch zu ergreifen
Daten zu Zielgruppeninteraktionen und Websitestatistiken zu erheben. Mit den gewonnenen Informationen möchten wir verstehen, wie unsere Dienste verwendet werden, und die Qualität dieser Dienste verbessern.
Wenn Sie „Alle akzeptieren“ auswählen, verwenden wir Cookies und Daten auch, um
neue Dienste zu entwickeln und zu verbessern
Werbung auszuliefern und ihre Wirkung zu messen
personalisierte Inhalte anzuzeigen, abhängig von Ihren Einstellungen
personalisierte Werbung anzuzeigen, abhängig von Ihren Einstellungen
Wenn Sie „Alle ablehnen“ auswählen, verwenden wir Cookies nicht für diese zusätzlichen Zwecke.
Nicht personalisierte Inhalte und Werbung werden u. a. von Inhalten, die Sie sich gerade ansehen, und Ihrem Standort beeinflusst (die Bereitstellung von Werbung basiert auf dem allgemeinen Standort). Personalisierte Inhalte und Werbung können auch Videoempfehlungen, eine individuelle YouTube-Startseite und individuelle Werbung enthalten, die auf früheren Aktivitäten wie auf YouTube angesehenen Videos und Suchanfragen auf YouTube beruhen. Sofern relevant, verwenden wir Cookies und Daten außerdem, um Inhalte und Werbung altersgerecht zu gestalten.
Wählen Sie „Weitere Optionen“ aus, um sich zusätzliche Informationen anzusehen, einschließlich Details zum Verwalten Ihrer Datenschutzeinstellungen. Sie können auch jederzeit g.co/privacytools besuchen.
Alle ablehnen
Alle akzeptieren
Weitere Optionen
Datenschutzerklärung • Nutzungsbedingungen"
